Affinity,Ancient Wetland,SL-104,Fawn Pro,4316
Affinity,Anherst Crest,SL-108,Sonora Pro,4317
Affinity,Arcadian Rock,SL-70,Latte Pro,4312
Affinity,Asea Stone,SL-58,Beach Pro,4230
Affinity,Auburn Horizon,SL-135,Cocoa Pro,4323
Affinity,Autumn Ridge,SL-88,Beach Pro,4230
Affinity,Basic,ES-01,Winter Pro,4101
Affinity,Bisque,ES-03,Antique Pro,4109
Affinity,Brazilian Onyx,SL-140,Midnight Pro,4532
Affinity,Burnt Riverbed,SL-128,Smoke Pro,4523
Affinity,Chipped Pearl,SL-45,Marble Pro,4106
Affinity,Clean,ES-11,Sand Pro,4216
Affinity,Cracked Diamond,SL-48,Marble Pro,4106
Affinity,Cut Topaz,SL-85,Dune Pro,4310
Affinity,Dream Haze,SL-52,Marble Pro,4106
Affinity,Earthen Crust,SL-117,Mesa Pro,4604
Affinity,Ecru,ES-25,Ice Pro,4218
Affinity,Enbedded Pyrite,SL-125,Rust Pro,4424
Affinity,Fiorito,MJ-380,Meridian Pro,4649
Affinity,Fossilized Ember,SL-116,Sonora Pro,4317
Affinity,Frozen Peak,SL-95,Beach Pro,4230
Affinity,Fundamental,ES-39,Ice Pro,4218
Affinity,Graphite Haze,SL-113,Ice Pro,4218
Affinity,Instinctive,ES-18,Sand Pro,4216
Affinity,Linen,ES-04,Natural Pro,4214
Affinity,Lunar Dream,SL-61,Fog Pro,4200
Affinity,Mesa,ES-31,Fawn Pro,4316
Affinity,Mesquite,ES-37,Toffee Pro,4318
Affinity,Natural Element,SL-63,Beach Pro,4230
Affinity,Necessity,ES-20,Beach Pro,4230
Affinity,Obsidian Crystal,SL-123,Ice Pro,4218
Affinity,Petrified Pumice,SL-90,Beach Pro,4230
Affinity,Polished Citrine,SL-83,Dune Pro,4310
Affinity,Precambrian Stone,SL-77,Camel Pro,4610
Affinity,Prima Star,SL-55,Stone Pro,4222
Affinity,Primal Quatrz,SL-92,Beach Pro,4230
Affinity,Pure,ES-15,Sand Pro,4216
Affinity,Quarry,ES-36,Smoke Pro,4523
Affinity,River Rock,SL-72,Beach Pro,4230
Affinity,Roasted Nutmeg,SL-137,Chocolate Pro,4324
Affinity,Roman Earth,SL-121,Ice Pro,4218
Affinity,Rustic Pearl,SL-69,Beige Pro,4228
Affinity,Rustic Sunset,SL-143,Cameo Pro,4120
Affinity,Scarlet Crystal,SL-127,Smoke Pro,4523
Affinity,Sediment,ES-33,Rust Pro,4424
Affinity,Shale Stone,SL-149,Lava Pro,4521
