Manufacturer,Manufacturer Color,Manufacturer Color Number,glueboss color name,Glue Boss Color Number,glueboss color volusion id,transparency,red,green,blue,transparency Rating,Text Color 0black 1white,Color Status
Affinity,Ancient Wetland,SL-104,Fawn,4316,131,100,148,125,96,3,0,Primary
Affinity,Anherst Crest,SL-108,Sonora,4317,163,100,172,157,135,0,0,Primary
Affinity,Arcadian Rock,SL-70,Latte,4312,138,100,165,144,113,4,0,Alternate
Affinity,Asea Stone,SL-58,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Auburn Horizon,SL-135,Cocoa,4323,124,100,45,26,15,0,1,Primary
Affinity,Autumn Ridge,SL-88,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Basic,ES-01,Winter,4101,171,90,253,253,252,3,0,Primary
Affinity,Bisque,ES-03,Antique,4109,109,97,255,247,240,3.5,0,Primary
Affinity,Brazilian Onyx,SL-140,Midnight,4532,143,100,0,0,0,4,1,Alternate
Affinity,Burnt Riverbed,SL-128,Smoke,4523,161,55,0,0,0,1.5,1,Primary
Affinity,Carbon,ES-48,Natural,4214,147,89,255,255,255,3,0,Primary
Affinity,Celestial Azure,SL-142,Natural,4214,147,89,255,255,255,3,0,Primary
Affinity,Chipped Pearl,SL-45,Marble,4106,141,88,246,246,244,3.5,0,Primary
Affinity,Clean,ES-11,Sand,4216,157,95,255,244,233,2.5,0,Primary
Affinity,Cracked Diamond,SL-48,Marble,4106,141,88,246,246,244,3.5,0,Alternate
Affinity,Cream,ES-10,Cameo,4120,116,84,250,250,248,2.5,0,Alternate
Affinity,Crest,ES-13,Cream,4232,127,100,211,201,177,4,0,Alternate
Affinity,Cut Topaz,SL-85,Dune,4310,128,100,199,173,139,3.5,0,Primary
Affinity,Dream Haze,SL-52,Marble,4106,141,88,246,246,244,3.5,0,Primary
Affinity,Earthen Crust,SL-117,Mesa,4604,142,93,39,33,29,4,1,Alternate
Affinity,Ecru,ES-25,Ice,4218,136,8,231,234,224,1.5,0,Primary
Affinity,Elision Rock,SL-100,Cream,4232,127,100,211,201,177,4,0,Primary
Affinity,Eminent,ES-44,Natural,4214,147,89,255,255,255,3,0,Primary
Affinity,Enbedded Pyrite,SL-125,Rust,4424,156,91,118,62,31,4,1,Alternate
Affinity,Ethereal Snow,SL-56,Canvas,4112,117,100,234,237,227,3.5,0,Alternate
Affinity,Fiorito,MJ-380,Meridian,4649,0,0,0,0,0,0,1,Primary
Affinity,Fossilized Ember,SL-116,Sonora,4317,163,100,172,157,135,0,0,Primary
Affinity,Frost,ES-07,Canvas,4112,117,100,234,237,227,3.5,0,Primary
Affinity,Frozen Peak,SL-95,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Fundamental,ES-39,Ice,4218,136,8,231,234,224,1.5,0,Alternate
Affinity,Graphite Haze,SL-113,Ice,4218,136,8,231,234,224,1.5,0,Primary
Affinity,Instinctive,ES-18,Sand,4216,157,95,255,244,233,2.5,0,Alternate
Affinity,Linen,ES-04,Natural,4214,147,89,255,255,255,3,0,Primary
Affinity,Lunar Dream,SL-61,Fog,4200,133,88,250,250,248,2.5,0,Primary
Affinity,Mesa,ES-31,Fawn,4316,131,100,148,125,96,3,0,Primary
Affinity,Mesquite,ES-37,Toffee,4318,166,100,136,107,84,2.5,1,Primary
Affinity,Mist,ES-52,Natural,4214,147,89,255,255,255,3,0,Primary
Affinity,Natural Element,SL-63,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Natural Summit,SL-57,Canvas,4112,117,100,234,237,227,3.5,0,Primary
Affinity,Necessity,ES-20,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Obsidian Crystal,SL-123,Ice,4218,136,8,231,234,224,1.5,0,Alternate
Affinity,Petrified Pumice,SL-90,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Polished Citrine,SL-83,Dune,4310,128,100,199,173,139,3.5,0,Alternate
Affinity,Precambrian Stone,SL-77,Camel,4610,0,0,0,0,0,0,1,Primary
Affinity,Prima Star,SL-55,Stone,4222,164,85,214,204,186,3,0,Primary
Affinity,Primal Quatrz,SL-92,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Pure,ES-15,Sand,4216,157,95,255,244,233,2.5,0,Primary
Affinity,Quarry,ES-36,Smoke,4523,161,55,0,0,0,1.5,1,Primary
Affinity,Radiant Basalt,SL-138,Chocolate,4324,120,100,52,33,0,3,1,Primary
Affinity,Rain,ES-05,Fog,4200,133,88,250,250,248,2.5,0,Primary
Affinity,River Rock,SL-72,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Roasted Nutmeg,SL-137,Chocolate,4324,120,100,52,33,0,3,1,Primary
Affinity,Roman Earth,SL-121,Ice,4218,136,8,231,234,224,1.5,0,Primary
Affinity,Rustic Pearl,SL-69,Beige,4228,113,100,211,189,151,3,0,Primary
Affinity,Rustic Sunset,SL-143,Cameo,4120,116,84,250,250,248,2.5,0,Primary
Affinity,Scarlet Crystal,SL-127,Smoke,4523,161,55,0,0,0,1.5,1,Primary
Affinity,Sediment,ES-33,Rust,4424,156,91,118,62,31,4,1,Primary
Affinity,Sepia Stone,SL-102,Cream,4232,127,100,211,201,177,4,0,Primary
Affinity,Serenity,ES-29,Fawn,4316,131,100,148,125,96,3,0,Primary
Affinity,Shale Stone,SL-149,Lava,4521,139,100,87,86,77,4.5,1,Primary
Affinity,Shimmering Coal,SL-139,Smoke,4523,161,55,0,0,0,1.5,1,Primary
Affinity,Sifted Fossa,SL-133,Mesa,4604,142,93,39,33,29,4,1,Primary
Affinity,Silt Stone,SL-148,Cream,4232,127,100,211,201,177,4,0,Primary
Affinity,Smokey Quartz,SL-119,Rust,4424,156,91,118,62,31,4,1,Alternate
Affinity,Sonora Quarry,SL-82,Latte,4312,138,100,165,144,113,4,0,Primary
Affinity,Speckled Concrete,SL-96,Beach,4230,112,100,208,186,148,3,0,Primary
Affinity,Terrain,ES-56,Cameo,4120,116,84,250,250,248,2.5,0,Primary
Affinity,Venetian Terrazzo,SL-99,Cream,4232,127,100,211,201,177,4,0,Primary
Affinity,Viridian Clarity,SL-144,Natural,4214,147,89,255,255,255,3,0,Primary
Affinity,Virtuous,ES-22,Natural,4214,147,89,255,255,255,3,0,Primary
Affinity,Vision Ash,SL-51,Marble,4106,141,88,246,246,244,3.5,0,Alternate
